_id,Condition,NCTId,isFDAReg,hasResults,compYear,url,OfficialTitle,BriefSummary,PrimaryOutcomeMeasure,DesignMasking,MaximumAge,__v,CollaboratorName,OutcomeMeasureDescription
62f33e19310c3b7d2e1dc7eb,Duchenne Muscular Dystrophy,NCT05244395,false,false,2022,https://clinicaltrials.gov/ct2/show/NCT05244395,"Development of a New Instrument to Evaluate Gait Characteristics of Individuals With Duchenne Muscular Dystrophy: Gait Assessment Scale for Duchenne Muscular Dystrophy, and Its Validity and Reliability","The aim of this study was to develop a gait assessment instrument for Duchenne Muscular Dystrophy patients (DMD-GAS), and investigate its validity and reliability.The scale was developed considering the expert opinions which included 10 physiotherapists who had experience in the management of patients with DMD over the 2-round Delphi method, and the Content Validity Index (CVI) was calculated. The final version of the DMD-GAS that was agreed upon the experts consisted of 10 items, and each item scored between 0 and 2. The intra-rater reliability was established by the video analysis of children with a 1-month interval and inter-rater reliability was determined by the scores of 3 physiotherapists. The criterion validity was determined by investigating the relationship between the total score of the DMD-GAS and Motor Function Measure (MFM), 6 Minute Walk Test (6MWT), and the data obtained from GAITRite system.",Duchenne Muscular Dystrophy Gait Assessment Scale (DMD-GAS),None (Open Label),18 Years,0,undefined,undefined
62f33e19310c3b7d2e1dc7ec,Duchenne Muscular Dystrophy,NCT04607824,false,false,2020,https://clinicaltrials.gov/ct2/show/NCT04607824,Computational Task in Duchenne Muscular Dystrophy: Involvement of Cardiac Autonomic Regulation.,"HRV is attained using a Polar RS800CX. Then, evaluated through linear, non-linear and chaotic global techniques (CGT). Forty-five male subjects were included in the DMD group and age-matched with forty-five in the healthy Typical Development (TD) control group. They were assessed for twenty minutes at rest sitting, and then five minutes whilst performing the maze task on a computer.",Heart Rate Variability behavior during computational task,undefined,21 Years,0,undefined,undefined
62f33e19310c3b7d2e1dc7ea,Duchenne Muscular Dystrophy,NCT04740554,false,false,2015,https://clinicaltrials.gov/ct2/show/NCT04740554,Characterization of Heart Rate Variability in Individuals With Duchenne Muscular Dystrophy - Influence of Corticosteroids and Betablockers,"A cross-sectional study was carried out, in which 40 boys, aged 11 to 18 years, were evaluated. The recruitment of groups was carried out at the neuromuscular disease outpatient clinic of the Federal University of São Paulo (UNIFESP). The recruited individuals were divided into 4 groups, namely: DMD that used deflazacort (DMD-D); DMD that used Prednisone/Prednisolone (DMD-P); DMD Control with no corticoid use (DMD-C) and Controls with typical development (CTD). The protocol was applied during the evaluation that was carried out at outpatient follow-up visits.

To assess the functionality of each patient, the Vignos scales were used to characterize the sample and the Motor Function Measure (MFM) for association with HRV indices.

All heart rate records were performed using a cardiofrequencymeter (V800, Polar). After placing the brace and monitor, the individuals were placed in the supine position and remained at rest spontaneously breathing for 25 minutes. For HRV analysis, indexes obtained by linear methods, in the domain of time and frequency, and non-linear methods were used.",Heart Rate Variability in adolescents with Duchenne Muscular Dystrophy undergoing therapy with corticosteroids,undefined,18 Years,0,undefined,undefined
62f33e19310c3b7d2e1dc7ef,Duchenne Muscular Dystrophy,NCT03513367,false,false,2019,https://clinicaltrials.gov/ct2/show/NCT03513367,The Validation Process for Confirmation of the French Version of the Pediatric Quality of Life Inventory (PedsQLTM) 3.0 Duchenne Muscular Dystrophy Module.,"There isn't specific Health related quality of life measure for children with DMD in French. The aim of this study is to validate the French version of the Pediatric Quality of Life Inventory 3.0 Duchenne Muscular Dystrophy module with a multicentric study. The investigators will evaluate the following psychometric properties : convergent validity, internal validity, inter-rater reliability. The investigators would like to be able to use this scientific tool in future clinical trials.",Evaluate the validity of the French version of the DMD module of the PedsQLTM 3.0 scale,undefined,18 Years,0,undefined,undefined
62f33e19310c3b7d2e1dc7f0,"Muscular Dystrophy, Duchenne",NCT05209087,false,false,2022,https://clinicaltrials.gov/ct2/show/NCT05209087,Effects of Parental Influence on Physical Activity Level And Participation in Children With Duchenne Muscular Dystrophy,The aims of our study are to determine the physical activity levels of school-age children with Duchenne Muscular Dystrophy who can walk and to investigate the effect of the parent on the child's physical activity level and participation.,International Physical Activity Questionnaire-Short Form-IPAQ-SF,undefined,18 Years,0,undefined,undefined
62f33e19310c3b7d2e1dc7f1,Duchenne Muscular Dystrophy,NCT02069756,false,false,2047,https://clinicaltrials.gov/ct2/show/NCT02069756,"The Duchenne Registry: An International, Patient-Report Registry for Individuals With Duchenne and Becker Muscular Dystrophy (Member of TREAT-NMD Neuromuscular Network)","The Duchenne Registry is an online, patient-report registry for individuals with Duchenne and Becker muscular dystrophy and carrier females. The purpose of the Registry is to connect Duchenne and Becker patients with actively recruiting clinical trials and research studies, and to educate patients and families about Duchenne and Becker care and research. At the same time, The Duchenne Registry is a valuable resource for clinicians and researchers in academia and industry, allowing access to de-identified, aggregate datasets provided by patients and their families-information that is vital to advances in the care and treatment of Duchenne. The Duchenne Registry is a member of the TREAT-NMD Neuromuscular Network.",Genetic mutation,undefined,undefined,0,Parent Project Muscular Dystrophy,undefined
62f33e19310c3b7d2e1dc7f2,Duchenne Muscular Dystrophy,NCT02530905,true,true,2018,https://clinicaltrials.gov/ct2/show/NCT02530905,"A Randomized, Double-Blind, Placebo-Controlled, Dose-Titration, Safety, Tolerability, and Pharmacokinetics Study Followed by an Open-Label Safety and Efficacy Evaluation of SRP-4045 in Advanced-Stage Patients With Duchenne Muscular Dystrophy Amenable to Exon 45 Skipping","This is a first-in-human dose-titration and open-label extension study to assess safety, tolerability, and pharmacokinetics of SRP-4045 in advanced-stage Duchenne muscular dystrophy (DMD) patients with deletions amenable to exon 45 skipping.",Number of Participants With Treatment Emergent Adverse Events (TEAEs),Quadruple,21 Years,0,undefined,"Adverse event (AE) was any untoward medical occurrence in a clinical trial participant, which does not necessarily have a causal relationship with the investigational drug. AEs also included abnormal physical examination findings (Physical examination were conducted per protocol and any clinically significant abnormal findings were recorded in medical history if pre-existing or addressed as an AE if new or worsening). TEAEs was defined as AEs that started, worsened, or became serious on or after the start of first infusion through 148 weeks. Number of participants with TEAEs were reported."
62f33e19310c3b7d2e1dc7f3,Duchenne Muscular Dystrophy,NCT03039686,true,true,2020,https://clinicaltrials.gov/ct2/show/NCT03039686,"A Randomized, Double Blind, Placebo-Controlled, Study to Assess the Efficacy, Safety, and Tolerability of RO7239361 in Ambulatory Boys With Duchenne Muscular Dystrophy","This is a multi-center, randomized, double-blind, placebo-controlled study to assess the efficacy, safety and tolerability of two different weekly doses of RO7239361 in ambulatory boys with Duchenne Muscular Dystrophy (DMD).",Baseline for the North Star Ambulatory Assessment (NSAA) Total Score,Quadruple,11 Years,0,undefined,"The NSAA is a functional scale specifically designed for ambulant boys with Duchenne muscular dystrophy (DMD) that can provide information about motor function. The NSAA is a 17-item test of standing, ability to transition from lying to sitting, sitting to standing, and other mobility assessments. Each of the 17 items is evaluated on an ordinal scale of 0-2: 0 = unable to achieve independently, 1 = modified method but achieves goal independent of physical assistance from another, or 2 = normal with no obvious modification of activity. Total score range is 0 to 34. Higher scores reflect better performance."
62f33e19310c3b7d2e1dc7f4,Duchenne Muscular Dystrophy,NCT02285673,false,false,2015,https://clinicaltrials.gov/ct2/show/NCT02285673,Efficacy of Umbilical Cord Mesenchymal Stem Cells in Duchenne Muscular Dystrophy: Phase 1/2 Study,"Duchenne muscular dystrophy (DMD) is a genetic disorder caused by an absence of dystrophin and characterized by progressive muscle degeneration. There is no cure for DMD at present but, there are several strategies under-researched for treatment of DMD such as steroid treatment, gene theraphy, exon skipping, stop codon read through and gene repair, cell theraphy and theraphy with drug that help to produce utrophin protein.

The aim of this study is investigate the eficacy of human umblical cord mesenchymal stem cells on DMD and understanding if wild type gene can be transfered to the patient.",Duchenne muscular dystrophy gene expression,None (Open Label),20 Years,0,undefined,undefined
62f33e19310c3b7d2e1dc7f5,Duchenne Muscular Dystrophy,NCT02484560,false,false,2015,https://clinicaltrials.gov/ct2/show/NCT02484560,Efficacy of Allogenic Mesenchymal Stem Cell Therapy in Ambulatory and Non-ambulatory Children With Duchenne Muscular Dystrophy - Phase 1-2,"Duchenne Muscular Dystrophy (DMD) is a X-linked genetic disorder primarily affecting males, resulting in an absence of dystrophin which ultimately leads to progressive muscle degeneration. Patients with DMD progressively lose functional abilities of movement, breath, and eventually the ability to circulate blood. Currently, there is no cure for DMD, although several strategies are being tested for treatment, none have yet proven to be sufficient. Children with DMD are generally divided into two groups based on severity or progression of the disease, non-ambulatory and ambulatory. Ambulatory patients are capable of walking independently while non-ambulatory patients cannot walk independently.","Degree of improvement in patients with Duchenne Muscular Dystrophy after stem cell therapy treatment administered using Northstar Ambulatory Assessment, Magnetic Resonance Imaging & Spectroscopy, muscle strength assessment equipment, and a questionnaire.",None (Open Label),14 Years,0,"Istınye University, Cukurova University, Yıldırım Beyazıt University, Gaziantep Deva Hospital, Gaziantep Public Hospital",undefined
